Lang,CurrencyISO,CurrencyName,Money,Symbol
"IT","TMT","Manat turkmeno","Манат","m"
"IT","BAM","Marco bosniaco","Marka","K"
"IT","MZN","Metical mozambicano","Metical","M"
"IT","NGN","Naira nigeriana","Naira","₦"
"IT","ERN","Nakfa eritreo","Nakfa","N"
"IT","BTN","Ngultrum del Bhutan","དངུལ་ཀྲམ","N"
"IT","PEN","Nuevo sol peruviano","Sol","S"
"IT","TRY","Nuova lira turca","Lirası","T"
"IT","TWD","Nuovo dollaro taiwanese","新臺幣","$"
"IT","RON","Nuovo leu rumeno","Leu","L"
"IT","BGN","Nuovo lev bulgaro","лев","л"
"IT","ILS","Nuovo siclo israeliano","שקל","₪"
"IT","MRO","Ouguiya mauritana","أوقية","U"
"IT","TOP","Paʻanga tongano","Pa'anga","T"
"IT","MOP","Pataca di Macao","澳門圓","M"
"IT","ARS","Peso argentino","Peso","$"
"IT","CLP","Peso cileno","Peso","$"
"IT","COP","Peso colombiano","Peso","C"
"IT","CUP","Peso cubano","Peso","$"
"IT","DOP","Peso dominicano","Peso","R"
"IT","PHP","Peso filippino","Piso","₱"
"IT","MXN","Peso messicano","Peso","$"
"IT","UYU","Peso uruguaiano","Peso","$"
"IT","BWP","Pula del Botswana","Pula","P"
"IT","GTQ","Quetzal guatemalteco","Quetzal","Q"
"IT","ZAR","Rand sudafricano","Rand","R"
"IT","BRL","Real brasiliano","Real","R"
"IT","CNY","Renminbi cinese (Yuan)","人民币","¥"
"IT","QAR","Rial del Qatar","ريال","ر"
"IT","OMR","Rial dell'Oman","ريال","ر"
"IT","IRR","Rial iraniano","﷼","﷼"
"IT","SAR","Rial saudita","ريال","ر"
"IT","YER","Rial yemenita","ريال","ر"
"IT","KHR","Riel cambogiano","Riel","r"
"IT","MYR","Ringgit malese","ريڠڬيت","R"
"IT","BYR","Rublo bielorusso","Рубель","B"
"IT","RUB","Rublo russo","Рубль","р"
"IT","MVR","Rufiyaa delle Maldive","Rufiyaa","R"
"IT","SCR","Rupia delle Seychelles","Roupie","S"
"IT","INR","Rupia indiana","Rupee","R"
"IT","IDR","Rupia indonesiana","Rupiah","R"
"IT","MUR","Rupia mauriziana","Roupie","R"
"IT","NPR","Rupia nepalese","Rupee","N"
"IT","PKR","Rupia pakistana","Rupee","R"
"IT","LKR","Rupia singalese","Rupee","R"
"IT","SVC","Salvadoran Colon","Colón","₡"
"IT","KES","Scellino keniota","Shilling","K"
"IT","SOS","Scellino somalo","Shilin","S"
"IT","TZS","Scellino tanzaniano","Shilingi","/"
"IT","UGX","Scellino ugandese","Shilling","U"
"IT","KGS","Som kirghizo","сом","с"
"IT","UZS","Som uzbeco","Сўм","с"
"IT","TJS","Somoni tagico","Сомонӣ","С"
"IT","GBP","Sterlina britannica","Pound","£"
"IT","FKP","Sterlina delle Falkland","Pound","£"
"IT","GIP","Sterlina di Gibilterra","Pound","£"
"IT","SHP","Sterlina di Sant'Elena","Pound","£"
"IT","SDG","Sterlina sudanese","جنيه","£"
"IT","BDT","Taka bengalese","টাকা","৳"
"IT","WST","Tala samoano","Tālā","W"
"IT","KZT","Tenge kazako","Теңгесі","〒"
"IT","MNT","Tugrik mongolo","Төгрөг","₮"
"IT","VUV","Vatu di Vanuatu","Vatu","V"
"IT","KPW","Won nordcoreano","원","₩"
"IT","KRW","Won sudcoreano","원","₩"
"IT","JPY","Yen giapponese","日本円","¥"
"IT","PLN","Złoty polacco","Złoty","z"
