Lang,CurrencyISO,CurrencyName,Money,Symbol
"EN","GTQ","Quetzal","Quetzal","Q"
"EN","ZAR","Rand","Rand","R"
"EN","OMR","Rial Omani","ريال","ر"
"EN","KHR","Riel","Riel","r"
"EN","MVR","Rufiyaa","Rufiyaa","R"
"EN","IDR","Rupiah","Rupiah","R"
"EN","RUB","Russian Ruble","Рубль","р"
"EN","RWF","Rwanda Franc","Franc","R"
"EN","SHP","Saint Helena Pound","Pound","£"
"EN","SVC","Salvadoran Colon","Colón","₡"
"EN","SAR","Saudi Riyal","ريال","ر"
"EN","RSD","Serbian Dinar","Динар","д"
"EN","SCR","Seychelles Rupee","Roupie","S"
"EN","SGD","Singapore Dollar","新加坡元","S"
"EN","SBD","Solomon Islands Dollar","Dollar","S"
"EN","KGS","Som","сом","с"
"EN","SOS","Somali Shilling","Shilin","S"
"EN","TJS","Somoni","Сомонӣ","С"
"EN","LKR","Sri Lanka Rupee","Rupee","R"
"EN","SDG","Sudanese Pound","جنيه","£"
"EN","SRD","Surinam Dollar","Dollar","$"
"EN","SEK","Swedish Krona","Krona","k"
"EN","CHF","Swiss Franc","Franc","F"
"EN","SYP","Syrian Pound","الليرة","S"
"EN","TWD","Taiwan Dollar","新臺幣","$"
"EN","BDT","Taka","টাকা","৳"
"EN","WST","Tala","Tālā","W"
"EN","TZS","Tanzanian Shilling","Shilingi","/"
"EN","KZT","Tenge","Теңгесі","〒"
"EN","TTD","Trinidad and Tobago Dollar","Dollar","$"
"EN","MNT","Tugrik","Төгрөг","₮"
"EN","TND","Tunisian Dinar","دينار","د"
"EN","TRY","Turkish Lira","Lirası","T"
"EN","AED","UAE Dirham","درهم","د"
"EN","UGX","Uganda Shilling","Shilling","U"
"EN","USD","US Dollar","Dollar","$"
"EN","UZS","Uzbekistan Sum","Сўм","с"
"EN","VUV","Vatu","Vatu","V"
"EN","KRW","Won","원","₩"
"EN","YER","Yemeni Rial","ريال","ر"
"EN","ZMK","Zambian Kwacha","Kwacha","Z"
"EN","ZWL","Zimbabwe Dollar","Dollar","$"
"EN","PLN","Zloty","Złoty","z"
"ES","AFN","Afghani","افغانۍ","؋"
"ES","THB","Baht","บาทไทย","฿"
"ES","PAB","Balboa","Balboa","B"
"ES","ETB","Birr Etiopía","Birr","B"
"ES","VEF","Bolivar Fuerte","Bolívar","B"
"ES","BOB","Boliviano","Boliviano","B"
"ES","BND","Brunei Dólar","Ringgit","B"
"ES","GHS","Cedi","Cedi","G"
"ES","CRC","Colón Costa Rican","Colón","₡"
"ES","SVC","Colón Salvadoreño","Colón","₡"
"ES","NIO","Cordoba Oro","Córdoba","C"
"ES","DKK","Corona Danesa","Corona","K"
"ES","ISK","Corona Islandia","Corona","k"
"ES","NOK","Corona Noruega","Corona","k"
"ES","SEK","Corona Suiza","Corona","k"
"ES","GMD","Dalasi","Dalasi","D"
"ES","MKD","Dinar","Денар","д"
"ES","DZD","Dinar Algeria","دينار","د"
"ES","BHD","Dinar Bahrainí","دينار","."
"ES","LYD","Dinar de Libia","دينار","ل"
"ES","RSD","Dinar de Serbian","Динар","д"
"ES","TND","Dinar de Tunisia","دينار","د"
"ES","IQD","Dinar Iraqi","دينار","ع"
"ES","JOD","Dinar Jordano","دينار","د"
"ES","KWD","Dinar Kuwaití","دينار","د"
"ES","MAD","Dirham de Moroco","درهم","د"
"ES","DJF","Djibouti Franco","الفرنك","F"
"ES","STD","Dobra","Dobra","D"
"ES","USD","Dólar Americano","Dólar","$"
"ES","AUD","Dólar Australiano","Dólar","$"
"ES","BSD","Dólar Bahamas","Dólar","B"
"ES","BBD","Dólar Barbados","Dólar","B"
"ES","BZD","Dólar Belize","Dólar","B"
"ES","BMD","Dólar Bremuda","Dólar","B"
"ES","CAD","Dólar Canadiense","Dólar","$"
"ES","GYD","Dólar de Guyana","Dólar","G"
"ES","NAD","Dólar de Namibia","Dólar","N"
"ES","ZWL","Dólar de Zimbabwe","Dólar","$"
"ES","XCD","Dólar del Este Caribeño","Dólar","E"
"ES","FJD","Dólar Fiji","Dólar","F"
"ES","HKD","Dólar Hong Kong","香港圓","H"
"ES","KYD","Dólar Islas Caimán","Dólar","$"
"ES","SBD","Dólar Islas Salomón","Dólar","S"
"ES","JMD","Dólar Jamaiquino","Dólar","$"
"ES","LRD","Dólar Liberiano","Dólar","L"
"ES","NZD","Dólar Nueva Zelanda","Dólar","$"
"ES","SGD","Dólar Singapur","新加坡元","S"
"ES","SRD","Dólar Surinam","Dólar","$"
"ES","TWD","Dólar Taiwanés","新臺幣","$"
"ES","TTD","Dólar Trinidad y Tobago","Dólar","$"
"ES","VND","Dong","đồng","₫"
"ES","AMD","Dram Armenio","Դրամ","դ"
"ES","CVE","Escudo Cabo Verde","Escudo","E"
"ES","EUR","Euro","Euro","€"
"ES","HUF","Florín Húgaro","Forín","F"
"ES","XAF","Franco CFA","Franco","C"
"ES","XOF","Franco CFA","Franco","C"
"ES","XPF","Franco CFA","Franco","F"
"ES","CDF","Franco Congolés","Franco","F"
"ES","KMF","Franco de Comoro","Franco","F"
"ES","GNF","Franco de Guinea","Franco","F"
"ES","RWF","Franco Ruandés","Franco","R"
"ES","CHF","Franco Suizo","Franco","F"
"ES","BIF","Francoo de Burundi","Franco","F"
"ES","HTG","Gourde","Gourde","G"
"ES","PYG","Guarani","Guaraní","₲"
"ES","ANG","Guilder Antillas Nerlandesas","Gulden","N"
"ES","AWG","Guilder de Aruba","Florijn","A"
"ES","UAH","Hryvnia","Гривня","₴"
"ES","PGK","Kina","Kina","K"
"ES","LAK","Kip","ກີບ","₭"
"ES","CZK","Koruna Checa","Koruna","K"
"ES","EEK","Kroon","Kroon","K"
"ES","HRK","Kuna Croatí","Kuna","k"
"ES","MWK","Kwacha","Kwacha","M"
"ES","ZMK","Kwacha de Zambia","Kwacha","Z"
"ES","AOA","Kwanza","Kwanza","K"
"ES","MMK","Kyat","Kyat","K"
"ES","GEL","Lari","ლარი","l"
"ES","LVL","Latvian Lats","Lats","L"
"ES","ALL","Lek","Leku","L"
"ES","HNL","Lempira","Lempira","L"
"ES","SLL","Leone","Leone","L"
"ES","MDL","Leu de Moldovia","Leu","l"
"ES","BGN","Lev Búlgaro","лев","л"
"ES","SHP","Libra de Santa Eelena","Libra","£"
"ES","SDG","Libra de Sudán","جنيه","£"
"ES","EGP","Libra Egipcia","الجنيه","£"
"ES","GIP","Libra Gibraltar","Libra","£"
"ES","FKP","Libra Islas Falkland","Libra","£"
"ES","LBP","Libra Libanesa","ليرة,","ل"
"ES","SYP","Libra Siria","الليرة","S"
"ES","GBP","Libra Sterling","Libra","£"
"ES","SZL","Lilangeni","Lilangeni","L"
"ES","TRY","Lira Turca","Lira","T"
"ES","LTL","Litas Lutianesa","Litas","L"
"ES","LSL","Loti","Loti","L"
"ES","MGA","Malagasy Ariary","Ariary","F"
"ES","TMT","Manat","Манат","m"
"ES","AZN","Manat Azerbaijanian","Manatı","м"
"ES","BAM","Marcos Convertibles","Marka","K"
"ES","MZN","Metical","Metical","M"
"ES","NGN","Naira","Naira","₦"
"ES","ERN","Nakfa","Nakfa","N"
"ES","BTN","Ngultrum","དངུལ་ཀྲམ","N"
